,id,Nome da Instituicao,Nome do Curso de Graduacao,Codigo do Município do Curso,Modalidade de Ensino,Ano de Referencia,Quantidade de Ingressantes no Curso,Quantidade de Permanencia no Curso no ano de referencia,Quantidade de Concluintes no Curso no ano de referencia,Quantidade de Desistencia no Curso no ano de referencia,Quantidade de Falecimentos no Curso no ano de referencia,Taxa de Permanencia – TAP,Taxa de Conclusao Acumulada - TCA,Taxa de Desistencia Acumulada - TDA,Taxa de Conclusao Anual - TCAN,Taxa de Desistencia Anual - TADA,Nome do Município
7152,22,UNIVERSIDADE PRESBITERIANA MACKENZIE,ENGENHARIA ELÉTRICA,3550308,Presencial,2019,92,65,0,12,0,"70,7",0,"29,3",0,13,São Paulo
7153,22,UNIVERSIDADE PRESBITERIANA MACKENZIE,ENGENHARIA ELÉTRICA,3550308,Presencial,2020,92,51,6,8,0,"55,4","6,5",38,"6,5","8,7",São Paulo
7154,22,UNIVERSIDADE PRESBITERIANA MACKENZIE,ENGENHARIA ELÉTRICA,3550308,Presencial,2021,92,29,19,3,0,"31,5","27,2","41,3","20,7","3,3",São Paulo
7155,22,UNIVERSIDADE PRESBITERIANA MACKENZIE,ENGENHARIA DE PRODUÇÃO,3550308,Presencial,2017,275,272,0,3,0,"98,9",0,"1,1",0,"1,1",São Paulo
7156,22,UNIVERSIDADE PRESBITERIANA MACKENZIE,ENGENHARIA DE PRODUÇÃO,3550308,Presencial,2018,275,232,0,40,0,"84,4",0,"15,6",0,"14,5",São Paulo
7157,22,UNIVERSIDADE PRESBITERIANA MACKENZIE,ENGENHARIA DE PRODUÇÃO,3550308,Presencial,2019,275,206,1,25,0,"74,9","0,4","24,7","0,4","9,1",São Paulo
7158,22,UNIVERSIDADE PRESBITERIANA MACKENZIE,ENGENHARIA DE PRODUÇÃO,3550308,Presencial,2020,275,179,15,12,0,"65,1","5,8","29,1","5,5","4,4",São Paulo
7159,22,UNIVERSIDADE PRESBITERIANA MACKENZIE,ENGENHARIA DE PRODUÇÃO,3550308,Presencial,2021,275,118,59,2,0,"42,9","27,3","29,8","21,5","0,7",São Paulo
7210,22,UNIVERSIDADE PRESBITERIANA MACKENZIE,ENGENHARIA DE PRODUÇÃO,3509502,Presencial,2017,46,46,0,0,0,100,0,0,0,0,Campinas
7211,22,UNIVERSIDADE PRESBITERIANA MACKENZIE,ENGENHARIA DE PRODUÇÃO,3509502,Presencial,2018,46,44,0,2,0,"95,7",0,"4,3",0,"4,3",Campinas
7212,22,UNIVERSIDADE PRESBITERIANA MACKENZIE,ENGENHARIA DE PRODUÇÃO,3509502,Presencial,2019,46,38,0,6,0,"82,6",0,"17,4",0,13,Campinas
7213,22,UNIVERSIDADE PRESBITERIANA MACKENZIE,ENGENHARIA DE PRODUÇÃO,3509502,Presencial,2020,46,31,3,4,0,"67,4","6,5","26,1","6,5","8,7",Campinas
7214,22,UNIVERSIDADE PRESBITERIANA MACKENZIE,ENGENHARIA DE PRODUÇÃO,3509502,Presencial,2021,46,16,14,1,0,"34,8",37,"28,3","30,4","2,2",Campinas
7215,22,UNIVERSIDADE PRESBITERIANA MACKENZIE,ENGENHARIA CIVIL,3509502,Presencial,2017,52,51,0,1,0,"98,1",0,"1,9",0,"1,9",Campinas
7216,22,UNIVERSIDADE PRESBITERIANA MACKENZIE,ENGENHARIA CIVIL,3509502,Presencial,2018,52,40,0,11,0,"76,9",0,"23,1",0,"21,2",Campinas
7217,22,UNIVERSIDADE PRESBITERIANA MACKENZIE,ENGENHARIA CIVIL,3509502,Presencial,2019,52,34,0,6,0,"65,4",0,"34,6",0,"11,5",Campinas
7218,22,UNIVERSIDADE PRESBITERIANA MACKENZIE,ENGENHARIA CIVIL,3509502,Presencial,2020,52,25,3,6,0,"48,1","5,8","46,2","5,8","11,5",Campinas
7219,22,UNIVERSIDADE PRESBITERIANA MACKENZIE,ENGENHARIA CIVIL,3509502,Presencial,2021,52,19,6,0,0,"36,5","17,3","46,2","11,5",0,Campinas
8400,33,FACULDADE DE TECNOLOGIA DE SOROCABA,SISTEMAS BIOMÉDICOS,3552205,Presencial,2017,82,63,0,19,0,"76,8",0,"23,2",0,"23,2",Sorocaba
8401,33,FACULDADE DE TECNOLOGIA DE SOROCABA,SISTEMAS BIOMÉDICOS,3552205,Presencial,2018,82,52,0,11,0,"63,4",0,"36,6",0,"13,4",Sorocaba
8402,33,FACULDADE DE TECNOLOGIA DE SOROCABA,SISTEMAS BIOMÉDICOS,3552205,Presencial,2019,82,28,10,14,0,"34,1","12,2","53,7","12,2","17,1",Sorocaba
8403,33,FACULDADE DE TECNOLOGIA DE SOROCABA,SISTEMAS BIOMÉDICOS,3552205,Presencial,2020,82,8,10,10,0,"9,8","24,4","65,9","12,2","12,2",Sorocaba
8404,33,FACULDADE DE TECNOLOGIA DE SOROCABA,SISTEMAS BIOMÉDICOS,3552205,Presencial,2021,82,2,3,3,0,"2,4",28,"69,5","3,7","3,7",Sorocaba
8405,33,FACULDADE DE TECNOLOGIA DE SOROCABA,FABRICAÇÃO MECÂNICA,3552205,Presencial,2017,294,220,4,70,0,"74,8","1,4","23,8","1,4","23,8",Sorocaba
8406,33,FACULDADE DE TECNOLOGIA DE SOROCABA,FABRICAÇÃO MECÂNICA,3552205,Presencial,2018,294,189,14,17,0,"64,3","6,1","29,6","4,8","5,8",Sorocaba
8407,33,FACULDADE DE TECNOLOGIA DE SOROCABA,FABRICAÇÃO MECÂNICA,3552205,Presencial,2019,294,111,37,41,0,"37,8","18,7","43,5","12,6","13,9",Sorocaba
8408,33,FACULDADE DE TECNOLOGIA DE SOROCABA,FABRICAÇÃO MECÂNICA,3552205,Presencial,2020,294,45,44,22,0,"15,3","33,7",51,15,"7,5",Sorocaba
8409,33,FACULDADE DE TECNOLOGIA DE SOROCABA,FABRICAÇÃO MECÂNICA,3552205,Presencial,2021,294,21,18,6,0,"7,1","39,8","53,1","6,1",2,Sorocaba
8410,33,FACULDADE DE TECNOLOGIA DE SOROCABA,POLÍMEROS,3552205,Presencial,2017,86,76,1,9,0,"88,4","1,2","10,5","1,2","10,5",Sorocaba
8411,33,FACULDADE DE TECNOLOGIA DE SOROCABA,POLÍMEROS,3552205,Presencial,2018,86,60,1,15,0,"69,8","2,3","27,9","1,2","17,4",Sorocaba
8412,33,FACULDADE DE TECNOLOGIA DE SOROCABA,POLÍMEROS,3552205,Presencial,2019,86,28,6,26,0,"32,6","9,3","58,1",7,"30,2",Sorocaba
8413,33,FACULDADE DE TECNOLOGIA DE SOROCABA,POLÍMEROS,3552205,Presencial,2020,86,13,9,6,0,"15,1","19,8","65,1","10,5",7,Sorocaba
8414,33,FACULDADE DE TECNOLOGIA DE SOROCABA,POLÍMEROS,3552205,Presencial,2021,86,4,5,4,0,"4,7","25,6","69,8","5,8","4,7",Sorocaba
8415,33,FACULDADE DE TECNOLOGIA DE SOROCABA,PROCESSOS METALÚRGICOS,3552205,Presencial,2017,78,59,0,19,0,"75,6",0,"24,4",0,"24,4",Sorocaba
8416,33,FACULDADE DE TECNOLOGIA DE SOROCABA,PROCESSOS METALÚRGICOS,3552205,Presencial,2018,78,52,0,7,0,"66,7",0,"33,3",0,9,Sorocaba
8417,33,FACULDADE DE TECNOLOGIA DE SOROCABA,PROCESSOS METALÚRGICOS,3552205,Presencial,2019,78,26,2,24,0,"33,3","2,6","64,1","2,6","30,8",Sorocaba
8418,33,FACULDADE DE TECNOLOGIA DE SOROCABA,PROCESSOS METALÚRGICOS,3552205,Presencial,2020,78,6,12,8,0,"7,7","17,9","74,4","15,4","10,3",Sorocaba
8419,33,FACULDADE DE TECNOLOGIA DE SOROCABA,PROCESSOS METALÚRGICOS,3552205,Presencial,2021,78,3,0,3,0,"3,8","17,9","78,2",0,"3,8",Sorocaba
8425,33,FACULDADE DE TECNOLOGIA DE SOROCABA,ELETRÔNICA AUTOMOTIVA,3552205,Presencial,2017,81,65,0,16,0,"80,2",0,"19,8",0,"19,8",Sorocaba
8426,33,FACULDADE DE TECNOLOGIA DE SOROCABA,ELETRÔNICA AUTOMOTIVA,3552205,Presencial,2018,81,55,1,9,0,"67,9","1,2","30,9","1,2","11,1",Sorocaba
8427,33,FACULDADE DE TECNOLOGIA DE SOROCABA,ELETRÔNICA AUTOMOTIVA,3552205,Presencial,2019,81,23,13,19,0,"28,4","17,3","54,3",16,"23,5",Sorocaba
8428,33,FACULDADE DE TECNOLOGIA DE SOROCABA,ELETRÔNICA AUTOMOTIVA,3552205,Presencial,2020,81,10,9,4,0,"12,3","28,4","59,3","11,1","4,9",Sorocaba
8429,33,FACULDADE DE TECNOLOGIA DE SOROCABA,ELETRÔNICA AUTOMOTIVA,3552205,Presencial,2021,81,5,2,3,0,"6,2","30,9",63,"2,5","3,7",Sorocaba
8430,33,FACULDADE DE TECNOLOGIA DE SOROCABA,PROJETOS MECÂNICOS,3552205,Presencial,2017,186,136,1,49,0,"73,1","0,5","26,3","0,5","26,3",Sorocaba
8431,33,FACULDADE DE TECNOLOGIA DE SOROCABA,PROJETOS MECÂNICOS,3552205,Presencial,2018,186,114,7,15,0,"61,3","4,3","34,4","3,8","8,1",Sorocaba
8432,33,FACULDADE DE TECNOLOGIA DE SOROCABA,PROJETOS MECÂNICOS,3552205,Presencial,2019,186,69,16,29,0,"37,1","12,9",50,"8,6","15,6",Sorocaba
8433,33,FACULDADE DE TECNOLOGIA DE SOROCABA,PROJETOS MECÂNICOS,3552205,Presencial,2020,186,38,21,10,0,"20,4","24,2","55,4","11,3","5,4",Sorocaba
8434,33,FACULDADE DE TECNOLOGIA DE SOROCABA,PROJETOS MECÂNICOS,3552205,Presencial,2021,186,17,11,10,0,"9,1","30,1","60,8","5,9","5,4",Sorocaba
8435,34,FACULDADE DE TECNOLOGIA DE SÃO PAULO,CONSTRUÇÃO CIVIL - MODALIDADE EDIFÍCIOS,3550308,Presencial,2017,231,231,0,0,0,100,0,0,0,0,São Paulo
8436,34,FACULDADE DE TECNOLOGIA DE SÃO PAULO,CONSTRUÇÃO CIVIL - MODALIDADE EDIFÍCIOS,3550308,Presencial,2018,231,187,6,38,0,81,"2,6","16,5","2,6","16,5",São Paulo
8437,34,FACULDADE DE TECNOLOGIA DE SÃO PAULO,CONSTRUÇÃO CIVIL - MODALIDADE EDIFÍCIOS,3550308,Presencial,2019,231,139,6,42,0,"60,2","5,2","34,6","2,6","18,2",São Paulo
8438,34,FACULDADE DE TECNOLOGIA DE SÃO PAULO,CONSTRUÇÃO CIVIL - MODALIDADE EDIFÍCIOS,3550308,Presencial,2020,231,94,36,9,0,"40,7","20,8","38,5","15,6","3,9",São Paulo
8439,34,FACULDADE DE TECNOLOGIA DE SÃO PAULO,CONSTRUÇÃO CIVIL - MODALIDADE EDIFÍCIOS,3550308,Presencial,2021,231,54,33,7,0,"23,4","35,1","41,6","14,3",3,São Paulo
8440,34,FACULDADE DE TECNOLOGIA DE SÃO PAULO,MECÂNICA - MODALIDADE PROJETOS,3550308,Presencial,2017,238,238,0,0,0,100,0,0,0,0,São Paulo
8441,34,FACULDADE DE TECNOLOGIA DE SÃO PAULO,MECÂNICA - MODALIDADE PROJETOS,3550308,Presencial,2018,238,179,5,54,0,"75,2","2,1","22,7","2,1","22,7",São Paulo
8442,34,FACULDADE DE TECNOLOGIA DE SÃO PAULO,MECÂNICA - MODALIDADE PROJETOS,3550308,Presencial,2019,238,139,7,33,0,"58,4",5,"36,6","2,9","13,9",São Paulo
8443,34,FACULDADE DE TECNOLOGIA DE SÃO PAULO,MECÂNICA - MODALIDADE PROJETOS,3550308,Presencial,2020,238,119,10,10,0,50,"9,2","40,8","4,2","4,2",São Paulo
8444,34,FACULDADE DE TECNOLOGIA DE SÃO PAULO,MECÂNICA - MODALIDADE PROJETOS,3550308,Presencial,2021,238,91,26,2,0,"38,2","20,2","41,6","10,9","0,8",São Paulo
8445,34,FACULDADE DE TECNOLOGIA DE SÃO PAULO,MECÂNICA DE PRECISÃO,3550308,Presencial,2017,59,59,0,0,0,100,0,0,0,0,São Paulo
8446,34,FACULDADE DE TECNOLOGIA DE SÃO PAULO,MECÂNICA DE PRECISÃO,3550308,Presencial,2018,59,43,0,16,0,"72,9",0,"27,1",0,"27,1",São Paulo
8447,34,FACULDADE DE TECNOLOGIA DE SÃO PAULO,MECÂNICA DE PRECISÃO,3550308,Presencial,2019,59,25,7,11,0,"42,4","11,9","45,8","11,9","18,6",São Paulo
