,id,Nome da Instituicao,Nome do Curso de Graduacao,Codigo do Município do Curso,Modalidade de Ensino,Ano de Referencia,Quantidade de Ingressantes no Curso,Quantidade de Permanencia no Curso no ano de referencia,Quantidade de Concluintes no Curso no ano de referencia,Quantidade de Desistencia no Curso no ano de referencia,Quantidade de Falecimentos no Curso no ano de referencia,Taxa de Permanencia – TAP,Taxa de Conclusao Acumulada - TCA,Taxa de Desistencia Acumulada - TDA,Taxa de Conclusao Anual - TCAN,Taxa de Desistencia Anual - TADA,Nome do Município
23993,266,UNIVERSIDADE METODISTA DE PIRACICABA,ENGENHARIA QUÍMICA,3545803,Presencial,2020,79,29,1,2,0,"36,7","1,3",62,"1,3","2,5",Santa Bárbara d'Oeste
23994,266,UNIVERSIDADE METODISTA DE PIRACICABA,ENGENHARIA QUÍMICA,3545803,Presencial,2021,79,1,0,28,0,"1,3","1,3","97,5",0,"35,4",Santa Bárbara d'Oeste
23995,266,UNIVERSIDADE METODISTA DE PIRACICABA,ENGENHARIA DE ALIMENTOS,3545803,Presencial,2017,23,21,0,2,0,"91,3",0,"8,7",0,"8,7",Santa Bárbara d'Oeste
23996,266,UNIVERSIDADE METODISTA DE PIRACICABA,ENGENHARIA DE ALIMENTOS,3545803,Presencial,2018,23,13,0,8,0,"56,5",0,"43,5",0,"34,8",Santa Bárbara d'Oeste
23997,266,UNIVERSIDADE METODISTA DE PIRACICABA,ENGENHARIA DE ALIMENTOS,3545803,Presencial,2019,23,5,0,8,0,"21,7",0,"78,3",0,"34,8",Santa Bárbara d'Oeste
23998,266,UNIVERSIDADE METODISTA DE PIRACICABA,ENGENHARIA DE ALIMENTOS,3545803,Presencial,2020,23,4,1,0,0,"17,4","4,3","78,3","4,3",0,Santa Bárbara d'Oeste
23999,266,UNIVERSIDADE METODISTA DE PIRACICABA,ENGENHARIA DE ALIMENTOS,3545803,Presencial,2021,23,4,0,0,0,"17,4","4,3","78,3",0,0,Santa Bárbara d'Oeste
24000,266,UNIVERSIDADE METODISTA DE PIRACICABA,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,3545803,Presencial,2017,15,15,0,0,0,100,0,0,0,0,Santa Bárbara d'Oeste
24001,266,UNIVERSIDADE METODISTA DE PIRACICABA,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,3545803,Presencial,2018,15,10,0,5,0,"66,7",0,"33,3",0,"33,3",Santa Bárbara d'Oeste
24002,266,UNIVERSIDADE METODISTA DE PIRACICABA,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,3545803,Presencial,2019,15,2,0,8,0,"13,3",0,"86,7",0,"53,3",Santa Bárbara d'Oeste
24003,266,UNIVERSIDADE METODISTA DE PIRACICABA,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,3545803,Presencial,2020,15,1,0,1,0,"6,7",0,"93,3",0,"6,7",Santa Bárbara d'Oeste
24004,266,UNIVERSIDADE METODISTA DE PIRACICABA,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,3545803,Presencial,2021,15,0,0,1,0,0,0,100,0,"6,7",Santa Bárbara d'Oeste
24045,266,UNIVERSIDADE METODISTA DE PIRACICABA,ENGENHARIA DE PRODUÇÃO,3545803,Presencial,2017,62,59,0,3,0,"95,2",0,"4,8",0,"4,8",Santa Bárbara d'Oeste
24046,266,UNIVERSIDADE METODISTA DE PIRACICABA,ENGENHARIA DE PRODUÇÃO,3545803,Presencial,2018,62,44,0,15,0,71,0,29,0,"24,2",Santa Bárbara d'Oeste
24047,266,UNIVERSIDADE METODISTA DE PIRACICABA,ENGENHARIA DE PRODUÇÃO,3545803,Presencial,2019,62,29,1,14,0,"46,8","1,6","51,6","1,6","22,6",Santa Bárbara d'Oeste
24048,266,UNIVERSIDADE METODISTA DE PIRACICABA,ENGENHARIA DE PRODUÇÃO,3545803,Presencial,2020,62,21,5,3,0,"33,9","9,7","56,5","8,1","4,8",Santa Bárbara d'Oeste
24049,266,UNIVERSIDADE METODISTA DE PIRACICABA,ENGENHARIA DE PRODUÇÃO,3545803,Presencial,2021,62,0,0,21,0,0,"9,7","90,3",0,"33,9",Santa Bárbara d'Oeste
24085,266,UNIVERSIDADE METODISTA DE PIRACICABA,ENGENHARIA MECÂNICA,3545803,Presencial,2017,68,64,0,4,0,"94,1",0,"5,9",0,"5,9",Santa Bárbara d'Oeste
24086,266,UNIVERSIDADE METODISTA DE PIRACICABA,ENGENHARIA MECÂNICA,3545803,Presencial,2018,68,41,0,23,0,"60,3",0,"39,7",0,"33,8",Santa Bárbara d'Oeste
24087,266,UNIVERSIDADE METODISTA DE PIRACICABA,ENGENHARIA MECÂNICA,3545803,Presencial,2019,68,26,0,15,0,"38,2",0,"61,8",0,"22,1",Santa Bárbara d'Oeste
24088,266,UNIVERSIDADE METODISTA DE PIRACICABA,ENGENHARIA MECÂNICA,3545803,Presencial,2020,68,19,4,3,0,"27,9","5,9","66,2","5,9","4,4",Santa Bárbara d'Oeste
24089,266,UNIVERSIDADE METODISTA DE PIRACICABA,ENGENHARIA MECÂNICA,3545803,Presencial,2021,68,0,1,18,0,0,"7,4","92,6","1,5","26,5",Santa Bárbara d'Oeste
24110,266,UNIVERSIDADE METODISTA DE PIRACICABA,ENGENHARIA CIVIL,3545803,Presencial,2017,48,43,0,5,0,"89,6",0,"10,4",0,"10,4",Santa Bárbara d'Oeste
24111,266,UNIVERSIDADE METODISTA DE PIRACICABA,ENGENHARIA CIVIL,3545803,Presencial,2018,48,19,0,24,0,"39,6",0,"60,4",0,50,Santa Bárbara d'Oeste
24112,266,UNIVERSIDADE METODISTA DE PIRACICABA,ENGENHARIA CIVIL,3545803,Presencial,2019,48,10,0,9,0,"20,8",0,"79,2",0,"18,8",Santa Bárbara d'Oeste
24113,266,UNIVERSIDADE METODISTA DE PIRACICABA,ENGENHARIA CIVIL,3545803,Presencial,2020,48,8,2,0,0,"16,7","4,2","79,2","4,2",0,Santa Bárbara d'Oeste
24114,266,UNIVERSIDADE METODISTA DE PIRACICABA,ENGENHARIA CIVIL,3545803,Presencial,2021,48,1,1,6,0,"2,1","6,3","91,7","2,1","12,5",Santa Bárbara d'Oeste
24130,266,UNIVERSIDADE METODISTA DE PIRACICABA,ENGENHARIA ELÉTRICA,3545803,Presencial,2017,26,23,0,3,0,"88,5",0,"11,5",0,"11,5",Santa Bárbara d'Oeste
24131,266,UNIVERSIDADE METODISTA DE PIRACICABA,ENGENHARIA ELÉTRICA,3545803,Presencial,2018,26,18,0,5,0,"69,2",0,"30,8",0,"19,2",Santa Bárbara d'Oeste
24132,266,UNIVERSIDADE METODISTA DE PIRACICABA,ENGENHARIA ELÉTRICA,3545803,Presencial,2019,26,10,0,8,0,"38,5",0,"61,5",0,"30,8",Santa Bárbara d'Oeste
24133,266,UNIVERSIDADE METODISTA DE PIRACICABA,ENGENHARIA ELÉTRICA,3545803,Presencial,2020,26,9,1,0,0,"34,6","3,8","61,5","3,8",0,Santa Bárbara d'Oeste
24134,266,UNIVERSIDADE METODISTA DE PIRACICABA,ENGENHARIA ELÉTRICA,3545803,Presencial,2021,26,0,0,9,0,0,"3,8","96,2",0,"34,6",Santa Bárbara d'Oeste
24255,269,FACULDADE FACCAT,ARQUITETURA E URBANISMO,3555000,Presencial,2017,30,23,0,7,0,"76,7",0,"23,3",0,"23,3",Tupã
24256,269,FACULDADE FACCAT,ARQUITETURA E URBANISMO,3555000,Presencial,2018,30,22,0,1,0,"73,3",0,"26,7",0,"3,3",Tupã
24257,269,FACULDADE FACCAT,ARQUITETURA E URBANISMO,3555000,Presencial,2019,30,19,0,3,0,"63,3",0,"36,7",0,10,Tupã
24258,269,FACULDADE FACCAT,ARQUITETURA E URBANISMO,3555000,Presencial,2020,30,19,0,0,0,"63,3",0,"36,7",0,0,Tupã
24259,269,FACULDADE FACCAT,ARQUITETURA E URBANISMO,3555000,Presencial,2021,30,6,12,1,0,20,40,40,40,"3,3",Tupã
24265,269,FACULDADE FACCAT,ENGENHARIA DE PRODUÇÃO,3555000,Presencial,2017,8,8,0,0,0,100,0,0,0,0,Tupã
24266,269,FACULDADE FACCAT,ENGENHARIA DE PRODUÇÃO,3555000,Presencial,2018,8,8,0,0,0,100,0,0,0,0,Tupã
24267,269,FACULDADE FACCAT,ENGENHARIA DE PRODUÇÃO,3555000,Presencial,2019,8,8,0,0,0,100,0,0,0,0,Tupã
24268,269,FACULDADE FACCAT,ENGENHARIA DE PRODUÇÃO,3555000,Presencial,2020,8,7,0,1,0,"87,5",0,"12,5",0,"12,5",Tupã
24269,269,FACULDADE FACCAT,ENGENHARIA DE PRODUÇÃO,3555000,Presencial,2021,8,6,1,0,0,75,"12,5","12,5","12,5",0,Tupã
24315,271,UNIVERSIDADE DO OESTE PAULISTA,ENGENHARIA CIVIL,3541406,Presencial,2017,109,107,0,2,0,"98,2",0,"1,8",0,"1,8",Presidente Prudente
24316,271,UNIVERSIDADE DO OESTE PAULISTA,ENGENHARIA CIVIL,3541406,Presencial,2018,109,107,0,0,0,"98,2",0,"1,8",0,0,Presidente Prudente
24317,271,UNIVERSIDADE DO OESTE PAULISTA,ENGENHARIA CIVIL,3541406,Presencial,2019,109,104,2,1,0,"95,4","1,8","2,8","1,8","0,9",Presidente Prudente
24318,271,UNIVERSIDADE DO OESTE PAULISTA,ENGENHARIA CIVIL,3541406,Presencial,2020,109,77,16,11,0,"70,6","16,5","12,8","14,7","10,1",Presidente Prudente
24319,271,UNIVERSIDADE DO OESTE PAULISTA,ENGENHARIA CIVIL,3541406,Presencial,2021,109,39,17,21,0,"35,8","32,1","32,1","15,6","19,3",Presidente Prudente
24415,271,UNIVERSIDADE DO OESTE PAULISTA,ENGENHARIA AMBIENTAL E SANITÁRIA,3541406,Presencial,2017,76,76,0,0,0,100,0,0,0,0,Presidente Prudente
24416,271,UNIVERSIDADE DO OESTE PAULISTA,ENGENHARIA AMBIENTAL E SANITÁRIA,3541406,Presencial,2018,76,75,0,1,0,"98,7",0,"1,3",0,"1,3",Presidente Prudente
24417,271,UNIVERSIDADE DO OESTE PAULISTA,ENGENHARIA AMBIENTAL E SANITÁRIA,3541406,Presencial,2019,76,75,0,0,0,"98,7",0,"1,3",0,0,Presidente Prudente
24418,271,UNIVERSIDADE DO OESTE PAULISTA,ENGENHARIA AMBIENTAL E SANITÁRIA,3541406,Presencial,2020,76,65,6,4,0,"85,5","7,9","6,6","7,9","5,3",Presidente Prudente
24419,271,UNIVERSIDADE DO OESTE PAULISTA,ENGENHARIA AMBIENTAL E SANITÁRIA,3541406,Presencial,2021,76,52,0,13,0,"68,4","7,9","23,7",0,"17,1",Presidente Prudente
24435,271,UNIVERSIDADE DO OESTE PAULISTA,ARQUITETURA E URBANISMO,3541406,Presencial,2017,71,70,0,1,0,"98,6",0,"1,4",0,"1,4",Presidente Prudente
24436,271,UNIVERSIDADE DO OESTE PAULISTA,ARQUITETURA E URBANISMO,3541406,Presencial,2018,71,70,0,0,0,"98,6",0,"1,4",0,0,Presidente Prudente
24437,271,UNIVERSIDADE DO OESTE PAULISTA,ARQUITETURA E URBANISMO,3541406,Presencial,2019,71,69,1,0,0,"97,2","1,4","1,4","1,4",0,Presidente Prudente
24438,271,UNIVERSIDADE DO OESTE PAULISTA,ARQUITETURA E URBANISMO,3541406,Presencial,2020,71,64,0,5,0,"90,1","1,4","8,5",0,7,Presidente Prudente
24439,271,UNIVERSIDADE DO OESTE PAULISTA,ARQUITETURA E URBANISMO,3541406,Presencial,2021,71,41,13,10,0,"57,7","19,7","22,5","18,3","14,1",Presidente Prudente
24465,271,UNIVERSIDADE DO OESTE PAULISTA,ENGENHARIA DE PRODUÇÃO,3541406,Presencial,2017,42,42,0,0,0,100,0,0,0,0,Presidente Prudente
24466,271,UNIVERSIDADE DO OESTE PAULISTA,ENGENHARIA DE PRODUÇÃO,3541406,Presencial,2018,42,42,0,0,0,100,0,0,0,0,Presidente Prudente
24467,271,UNIVERSIDADE DO OESTE PAULISTA,ENGENHARIA DE PRODUÇÃO,3541406,Presencial,2019,42,41,0,1,0,"97,6",0,"2,4",0,"2,4",Presidente Prudente
24468,271,UNIVERSIDADE DO OESTE PAULISTA,ENGENHARIA DE PRODUÇÃO,3541406,Presencial,2020,42,39,0,2,0,"92,9",0,"7,1",0,"4,8",Presidente Prudente
24469,271,UNIVERSIDADE DO OESTE PAULISTA,ENGENHARIA DE PRODUÇÃO,3541406,Presencial,2021,42,26,1,12,0,"61,9","2,4","35,7","2,4","28,6",Presidente Prudente
24505,271,UNIVERSIDADE DO OESTE PAULISTA,ENGENHARIA ELÉTRICA,3541406,Presencial,2017,62,62,0,0,0,100,0,0,0,0,Presidente Prudente
24506,271,UNIVERSIDADE DO OESTE PAULISTA,ENGENHARIA ELÉTRICA,3541406,Presencial,2018,62,62,0,0,0,100,0,0,0,0,Presidente Prudente
24507,271,UNIVERSIDADE DO OESTE PAULISTA,ENGENHARIA ELÉTRICA,3541406,Presencial,2019,62,60,1,1,0,"96,8","1,6","1,6","1,6","1,6",Presidente Prudente
24508,271,UNIVERSIDADE DO OESTE PAULISTA,ENGENHARIA ELÉTRICA,3541406,Presencial,2020,62,52,0,8,0,"83,9","1,6","14,5",0,"12,9",Presidente Prudente
24509,271,UNIVERSIDADE DO OESTE PAULISTA,ENGENHARIA ELÉTRICA,3541406,Presencial,2021,62,40,3,9,0,"64,5","6,5",29,"4,8","14,5",Presidente Prudente
24560,275,UNIVERSIDADE DO VALE DO PARAÍBA,ENGENHARIA CIVIL,3549904,Presencial,2017,47,37,1,9,0,"78,7","2,1","19,1","2,1","19,1",São José dos Campos
24561,275,UNIVERSIDADE DO VALE DO PARAÍBA,ENGENHARIA CIVIL,3549904,Presencial,2018,47,28,0,9,0,"59,6","2,1","38,3",0,"19,1",São José dos Campos
24562,275,UNIVERSIDADE DO VALE DO PARAÍBA,ENGENHARIA CIVIL,3549904,Presencial,2019,47,18,2,8,0,"38,3","6,4","55,3","4,3",17,São José dos Campos
24563,275,UNIVERSIDADE DO VALE DO PARAÍBA,ENGENHARIA CIVIL,3549904,Presencial,2020,47,9,7,2,0,"19,1","21,3","59,6","14,9","4,3",São José dos Campos
24564,275,UNIVERSIDADE DO VALE DO PARAÍBA,ENGENHARIA CIVIL,3549904,Presencial,2021,47,3,5,1,0,"6,4","31,9","61,7","10,6","2,1",São José dos Campos
24575,275,UNIVERSIDADE DO VALE DO PARAÍBA,ARQUITETURA E URBANISMO,3549904,Presencial,2017,90,87,0,3,0,"96,7",0,"3,3",0,"3,3",São José dos Campos
24576,275,UNIVERSIDADE DO VALE DO PARAÍBA,ARQUITETURA E URBANISMO,3549904,Presencial,2018,90,68,11,8,0,"75,6","12,2","12,2","12,2","8,9",São José dos Campos
24577,275,UNIVERSIDADE DO VALE DO PARAÍBA,ARQUITETURA E URBANISMO,3549904,Presencial,2019,90,40,22,6,0,"44,4","36,7","18,9","24,4","6,7",São José dos Campos
24578,275,UNIVERSIDADE DO VALE DO PARAÍBA,ARQUITETURA E URBANISMO,3549904,Presencial,2020,90,22,14,4,0,"24,4","52,2","23,3","15,6","4,4",São José dos Campos
24579,275,UNIVERSIDADE DO VALE DO PARAÍBA,ARQUITETURA E URBANISMO,3549904,Presencial,2021,90,7,13,2,0,"7,8","66,7","25,6","14,4","2,2",São José dos Campos
24615,275,UNIVERSIDADE DO VALE DO PARAÍBA,ENGENHARIA ELÉTRICA,3549904,Presencial,2017,16,13,0,3,0,"81,3",0,"18,8",0,"18,8",São José dos Campos
24616,275,UNIVERSIDADE DO VALE DO PARAÍBA,ENGENHARIA ELÉTRICA,3549904,Presencial,2018,16,10,0,3,0,"62,5",0,"37,5",0,"18,8",São José dos Campos
24617,275,UNIVERSIDADE DO VALE DO PARAÍBA,ENGENHARIA ELÉTRICA,3549904,Presencial,2019,16,8,0,2,0,50,0,50,0,"12,5",São José dos Campos
24618,275,UNIVERSIDADE DO VALE DO PARAÍBA,ENGENHARIA ELÉTRICA,3549904,Presencial,2020,16,7,0,1,0,"43,8",0,"56,3",0,"6,3",São José dos Campos
24619,275,UNIVERSIDADE DO VALE DO PARAÍBA,ENGENHARIA ELÉTRICA,3549904,Presencial,2021,16,6,1,0,0,"37,5","6,3","56,3","6,3",0,São José dos Campos
24630,275,UNIVERSIDADE DO VALE DO PARAÍBA,ENGENHARIA BIOMÉDICA,3549904,Presencial,2017,24,23,0,1,0,"95,8",0,"4,2",0,"4,2",São José dos Campos
24631,275,UNIVERSIDADE DO VALE DO PARAÍBA,ENGENHARIA BIOMÉDICA,3549904,Presencial,2018,24,18,0,5,0,75,0,25,0,"20,8",São José dos Campos
24632,275,UNIVERSIDADE DO VALE DO PARAÍBA,ENGENHARIA BIOMÉDICA,3549904,Presencial,2019,24,10,0,8,0,"41,7",0,"58,3",0,"33,3",São José dos Campos
24633,275,UNIVERSIDADE DO VALE DO PARAÍBA,ENGENHARIA BIOMÉDICA,3549904,Presencial,2020,24,9,0,1,0,"37,5",0,"62,5",0,"4,2",São José dos Campos
24634,275,UNIVERSIDADE DO VALE DO PARAÍBA,ENGENHARIA BIOMÉDICA,3549904,Presencial,2021,24,7,2,0,0,"29,2","8,3","62,5","8,3",0,São José dos Campos
24635,275,UNIVERSIDADE DO VALE DO PARAÍBA,ENGENHARIA AERONÁUTICA E ESPAÇO,3549904,Presencial,2017,32,30,0,2,0,"93,8",0,"6,3",0,"6,3",São José dos Campos
24636,275,UNIVERSIDADE DO VALE DO PARAÍBA,ENGENHARIA AERONÁUTICA E ESPAÇO,3549904,Presencial,2018,32,24,0,6,0,75,0,25,0,"18,8",São José dos Campos
24637,275,UNIVERSIDADE DO VALE DO PARAÍBA,ENGENHARIA AERONÁUTICA E ESPAÇO,3549904,Presencial,2019,32,15,2,7,0,"46,9","6,3","46,9","6,3","21,9",São José dos Campos
24638,275,UNIVERSIDADE DO VALE DO PARAÍBA,ENGENHARIA AERONÁUTICA E ESPAÇO,3549904,Presencial,2020,32,11,0,4,0,"34,4","6,3","59,4",0,"12,5",São José dos Campos
24639,275,UNIVERSIDADE DO VALE DO PARAÍBA,ENGENHARIA AERONÁUTICA E ESPAÇO,3549904,Presencial,2021,32,4,4,3,0,"12,5","18,8","68,8","12,5","9,4",São José dos Campos
24640,275,UNIVERSIDADE DO VALE DO PARAÍBA,ENGENHARIA AMBIENTAL E SANITÁRIA,3549904,Presencial,2017,16,14,0,2,0,"87,5",0,"12,5",0,"12,5",São José dos Campos
24641,275,UNIVERSIDADE DO VALE DO PARAÍBA,ENGENHARIA AMBIENTAL E SANITÁRIA,3549904,Presencial,2018,16,10,1,3,0,"62,5","6,3","31,3","6,3","18,8",São José dos Campos
24642,275,UNIVERSIDADE DO VALE DO PARAÍBA,ENGENHARIA AMBIENTAL E SANITÁRIA,3549904,Presencial,2019,16,7,0,3,0,"43,8","6,3",50,0,"18,8",São José dos Campos
24643,275,UNIVERSIDADE DO VALE DO PARAÍBA,ENGENHARIA AMBIENTAL E SANITÁRIA,3549904,Presencial,2020,16,6,0,1,0,"37,5","6,3","56,3",0,"6,3",São José dos Campos
24644,275,UNIVERSIDADE DO VALE DO PARAÍBA,ENGENHARIA AMBIENTAL E SANITÁRIA,3549904,Presencial,2021,16,4,1,1,0,25,"12,5","62,5","6,3","6,3",São José dos Campos
24665,275,UNIVERSIDADE DO VALE DO PARAÍBA,ENGENHARIA QUÍMICA,3549904,Presencial,2017,43,37,0,6,0,86,0,14,0,14,São José dos Campos
24666,275,UNIVERSIDADE DO VALE DO PARAÍBA,ENGENHARIA QUÍMICA,3549904,Presencial,2018,43,35,0,2,0,"81,4",0,"18,6",0,"4,7",São José dos Campos
24667,275,UNIVERSIDADE DO VALE DO PARAÍBA,ENGENHARIA QUÍMICA,3549904,Presencial,2019,43,33,0,2,0,"76,7",0,"23,3",0,"4,7",São José dos Campos
24668,275,UNIVERSIDADE DO VALE DO PARAÍBA,ENGENHARIA QUÍMICA,3549904,Presencial,2020,43,26,2,5,0,"60,5","4,7","34,9","4,7","11,6",São José dos Campos
24669,275,UNIVERSIDADE DO VALE DO PARAÍBA,ENGENHARIA QUÍMICA,3549904,Presencial,2021,43,13,11,2,0,"30,2","30,2","39,5","25,6","4,7",São José dos Campos
24695,275,UNIVERSIDADE DO VALE DO PARAÍBA,ENGENHARIA DE PRODUÇÃO,3549904,Presencial,2017,17,15,0,2,0,"88,2",0,"11,8",0,"11,8",São José dos Campos
24696,275,UNIVERSIDADE DO VALE DO PARAÍBA,ENGENHARIA DE PRODUÇÃO,3549904,Presencial,2018,17,12,0,3,0,"70,6",0,"29,4",0,"17,6",São José dos Campos
24697,275,UNIVERSIDADE DO VALE DO PARAÍBA,ENGENHARIA DE PRODUÇÃO,3549904,Presencial,2019,17,10,0,2,0,"58,8",0,"41,2",0,"11,8",São José dos Campos
24698,275,UNIVERSIDADE DO VALE DO PARAÍBA,ENGENHARIA DE PRODUÇÃO,3549904,Presencial,2020,17,7,2,1,0,"41,2","11,8","47,1","11,8","5,9",São José dos Campos
24699,275,UNIVERSIDADE DO VALE DO PARAÍBA,ENGENHARIA DE PRODUÇÃO,3549904,Presencial,2021,17,2,4,1,0,"11,8","35,3","52,9","23,5","5,9",São José dos Campos
26255,316,UNIVERSIDADE NOVE DE JULHO,ENGENHARIA CIVIL,3550308,Presencial,2017,497,485,5,6,1,"97,8",1,"1,2",1,"1,2",São Paulo
26256,316,UNIVERSIDADE NOVE DE JULHO,ENGENHARIA CIVIL,3550308,Presencial,2018,497,368,6,111,0,"74,2","2,2","23,6","1,2","22,4",São Paulo
26257,316,UNIVERSIDADE NOVE DE JULHO,ENGENHARIA CIVIL,3550308,Presencial,2019,497,244,21,103,0,"49,2","6,5","44,4","4,2","20,8",São Paulo
26258,316,UNIVERSIDADE NOVE DE JULHO,ENGENHARIA CIVIL,3550308,Presencial,2020,497,176,16,52,0,"35,5","9,7","54,8","3,2","10,5",São Paulo
26259,316,UNIVERSIDADE NOVE DE JULHO,ENGENHARIA CIVIL,3550308,Presencial,2021,497,58,94,24,0,"11,7","28,6","59,7",19,"4,8",São Paulo
26260,316,UNIVERSIDADE NOVE DE JULHO,ENGENHARIA DE PRODUÇÃO MECÂNICA,3550308,Presencial,2017,37,36,1,0,0,"97,3","2,7",0,"2,7",0,São Paulo
26261,316,UNIVERSIDADE NOVE DE JULHO,ENGENHARIA DE PRODUÇÃO MECÂNICA,3550308,Presencial,2018,37,20,1,15,0,"54,1","5,4","40,5","2,7","40,5",São Paulo
26262,316,UNIVERSIDADE NOVE DE JULHO,ENGENHARIA DE PRODUÇÃO MECÂNICA,3550308,Presencial,2019,37,8,2,10,0,"21,6","10,8","67,6","5,4",27,São Paulo
26263,316,UNIVERSIDADE NOVE DE JULHO,ENGENHARIA DE PRODUÇÃO MECÂNICA,3550308,Presencial,2020,37,0,4,4,0,0,"21,6","78,4","10,8","10,8",São Paulo
26264,316,UNIVERSIDADE NOVE DE JULHO,ENGENHARIA DE PRODUÇÃO MECÂNICA,3550308,Presencial,2021,37,0,0,0,0,0,"21,6","78,4",0,0,São Paulo
26315,316,UNIVERSIDADE NOVE DE JULHO,ARQUITETURA E URBANISMO,3550308,Presencial,2017,591,582,0,9,0,"98,5",0,"1,5",0,"1,5",São Paulo
26316,316,UNIVERSIDADE NOVE DE JULHO,ARQUITETURA E URBANISMO,3550308,Presencial,2018,591,386,7,189,0,"65,3","1,2","33,5","1,2",32,São Paulo
26317,316,UNIVERSIDADE NOVE DE JULHO,ARQUITETURA E URBANISMO,3550308,Presencial,2019,591,278,8,100,0,47,"2,5","50,4","1,4","16,9",São Paulo
26318,316,UNIVERSIDADE NOVE DE JULHO,ARQUITETURA E URBANISMO,3550308,Presencial,2020,591,209,18,51,0,"35,4","5,6","59,1",3,"8,6",São Paulo
26319,316,UNIVERSIDADE NOVE DE JULHO,ARQUITETURA E URBANISMO,3550308,Presencial,2021,591,81,100,28,0,"13,7","22,5","63,8","16,9","4,7",São Paulo
26370,316,UNIVERSIDADE NOVE DE JULHO,ENGENHARIA CIVIL,3550308,Presencial,2017,578,566,3,9,0,"97,9","0,5","1,6","0,5","1,6",São Paulo
26371,316,UNIVERSIDADE NOVE DE JULHO,ENGENHARIA CIVIL,3550308,Presencial,2018,578,410,7,149,0,"70,9","1,7","27,3","1,2","25,8",São Paulo
26372,316,UNIVERSIDADE NOVE DE JULHO,ENGENHARIA CIVIL,3550308,Presencial,2019,578,303,19,88,0,"52,4",5,"42,6","3,3","15,2",São Paulo
26373,316,UNIVERSIDADE NOVE DE JULHO,ENGENHARIA CIVIL,3550308,Presencial,2020,578,242,20,41,0,"41,9","8,5","49,7","3,5","7,1",São Paulo
26374,316,UNIVERSIDADE NOVE DE JULHO,ENGENHARIA CIVIL,3550308,Presencial,2021,578,90,129,23,0,"15,6","30,8","53,6","22,3",4,São Paulo
26415,316,UNIVERSIDADE NOVE DE JULHO,MECATRÔNICA INDUSTRIAL,3550308,Presencial,2017,49,44,5,0,0,"89,8","10,2",0,"10,2",0,São Paulo
26416,316,UNIVERSIDADE NOVE DE JULHO,MECATRÔNICA INDUSTRIAL,3550308,Presencial,2018,49,25,2,17,0,51,"14,3","34,7","4,1","34,7",São Paulo
26417,316,UNIVERSIDADE NOVE DE JULHO,MECATRÔNICA INDUSTRIAL,3550308,Presencial,2019,49,15,2,8,0,"30,6","18,4",51,"4,1","16,3",São Paulo
26418,316,UNIVERSIDADE NOVE DE JULHO,MECATRÔNICA INDUSTRIAL,3550308,Presencial,2020,49,3,4,8,0,"6,1","26,5","67,3","8,2","16,3",São Paulo
26419,316,UNIVERSIDADE NOVE DE JULHO,MECATRÔNICA INDUSTRIAL,3550308,Presencial,2021,49,0,1,2,0,0,"28,6","71,4",2,"4,1",São Paulo
26500,316,UNIVERSIDADE NOVE DE JULHO,ENGENHARIA DE PRODUÇÃO MECÂNICA,3550308,Presencial,2017,57,54,0,2,1,"96,4",0,"3,6",0,"3,6",São Paulo
26501,316,UNIVERSIDADE NOVE DE JULHO,ENGENHARIA DE PRODUÇÃO MECÂNICA,3550308,Presencial,2018,57,22,13,19,0,"39,3","23,2","37,5","23,2","33,9",São Paulo
26502,316,UNIVERSIDADE NOVE DE JULHO,ENGENHARIA DE PRODUÇÃO MECÂNICA,3550308,Presencial,2019,57,5,8,9,0,"8,9","37,5","53,6","14,3","16,1",São Paulo
26503,316,UNIVERSIDADE NOVE DE JULHO,ENGENHARIA DE PRODUÇÃO MECÂNICA,3550308,Presencial,2020,57,2,2,1,0,"3,6","41,1","55,4","3,6","1,8",São Paulo
26504,316,UNIVERSIDADE NOVE DE JULHO,ENGENHARIA DE PRODUÇÃO MECÂNICA,3550308,Presencial,2021,57,0,1,1,0,0,"42,9","57,1","1,8","1,8",São Paulo
26540,316,UNIVERSIDADE NOVE DE JULHO,ENGENHARIA ELÉTRICA,3550308,Presencial,2017,230,227,1,2,0,"98,7","0,4","0,9","0,4","0,9",São Paulo
26541,316,UNIVERSIDADE NOVE DE JULHO,ENGENHARIA ELÉTRICA,3550308,Presencial,2018,230,161,2,64,0,70,"1,3","28,7","0,9","27,8",São Paulo
26542,316,UNIVERSIDADE NOVE DE JULHO,ENGENHARIA ELÉTRICA,3550308,Presencial,2019,230,104,13,44,0,"45,2",7,"47,8","5,7","19,1",São Paulo
26543,316,UNIVERSIDADE NOVE DE JULHO,ENGENHARIA ELÉTRICA,3550308,Presencial,2020,230,73,11,20,0,"31,7","11,7","56,5","4,8","8,7",São Paulo
26544,316,UNIVERSIDADE NOVE DE JULHO,ENGENHARIA ELÉTRICA,3550308,Presencial,2021,230,33,34,6,0,"14,3","26,5","59,1","14,8","2,6",São Paulo
